hgnc_symbol	ensembl_gene_id	gene_biotype
IGF1R	ENSG00000140443	protein_coding
	ENSG00000248978	unprocessed_pseudogene
	ENSG00000254060	lncRNA
	ENSG00000298378	lncRNA
SLC7A13	ENSG00000164893	protein_coding
	ENSG00000298407	lncRNA
	ENSG00000298484	lncRNA
	ENSG00000308899	lncRNA
	ENSG00000308907	lncRNA
	ENSG00000286865	lncRNA
	ENSG00000287850	lncRNA
	ENSG00000309004	lncRNA
	ENSG00000309008	lncRNA
	ENSG00000309011	lncRNA
	ENSG00000309024	lncRNA
LILRP2	ENSG00000293059	lncRNA
	ENSG00000254055	lncRNA
	ENSG00000298486	lncRNA
LILRP1	ENSG00000276001	unprocessed_pseudogene
	ENSG00000243902	lncRNA
	ENSG00000274082	unprocessed_pseudogene
LILRP2	ENSG00000276243	transcribed_processed_pseudogene
	ENSG00000289875	lncRNA
CA13	ENSG00000185015	protein_coding
KIR3DL3	ENSG00000274786	protein_coding
	ENSG00000309072	lncRNA
	ENSG00000309136	lncRNA
	ENSG00000181123	lncRNA
	ENSG00000309203	lncRNA
	ENSG00000298545	lncRNA
	ENSG00000298609	lncRNA
MIR646HG	ENSG00000228340	lncRNA
	ENSG00000298663	lncRNA
	ENSG00000298665	lncRNA
OGFRP1	ENSG00000182057	lncRNA
LILRP2	ENSG00000293041	lncRNA
RPS4XP10	ENSG00000244217	processed_pseudogene
	ENSG00000253362	unprocessed_pseudogene
LILRP1	ENSG00000273546	unprocessed_pseudogene
MYL12AP1	ENSG00000254387	processed_pseudogene
	ENSG00000276994	unprocessed_pseudogene
LILRP2	ENSG00000273922	transcribed_processed_pseudogene
FSBP	ENSG00000265817	protein_coding
	ENSG00000298701	lncRNA
KIR3DL3	ENSG00000276086	protein_coding
	ENSG00000298726	lncRNA
	ENSG00000298759	lncRNA
	ENSG00000272973	lncRNA
	ENSG00000298810	lncRNA
	ENSG00000298832	lncRNA
	ENSG00000224715	lncRNA
	ENSG00000213750	processed_pseudogene
TFIP11-DT	ENSG00000261188	lncRNA
	ENSG00000255101	lncRNA
KIR3DL2	ENSG00000275262	protein_coding
	ENSG00000298965	lncRNA
	ENSG00000254212	processed_pseudogene
RPS29P2	ENSG00000239281	processed_pseudogene
	ENSG00000299016	lncRNA
HORMAD2-AS1	ENSG00000227117	lncRNA
HSPA8P11	ENSG00000248159	processed_pseudogene
KIR2DL3	ENSG00000276590	protein_coding
TMEM69P1	ENSG00000270861	processed_pseudogene
	ENSG00000276970	unprocessed_pseudogene
	ENSG00000272249	lncRNA
MIR378D2HG	ENSG00000264448	lncRNA
	ENSG00000250637	unprocessed_pseudogene
KIR2DL1	ENSG00000275750	protein_coding
	ENSG00000225676	lncRNA
MCF2L	ENSG00000126217	protein_coding
RPL34P18	ENSG00000240509	processed_pseudogene
	ENSG00000299076	lncRNA
	ENSG00000299103	lncRNA
	ENSG00000299104	lncRNA
	ENSG00000299123	lncRNA
	ENSG00000299144	lncRNA
RALYL	ENSG00000184672	protein_coding
KIR2DS2	ENSG00000275735	protein_coding
	ENSG00000299145	lncRNA
	ENSG00000299161	lncRNA
KIR2DL2	ENSG00000278692	protein_coding
	ENSG00000299199	lncRNA
	ENSG00000278277	protein_coding
	ENSG00000299223	lncRNA
	ENSG00000224027	lncRNA
KIR2DL4	ENSG00000273498	protein_coding
	ENSG00000299267	lncRNA
	ENSG00000299465	lncRNA
EFCAB6-DT	ENSG00000261251	lncRNA
	ENSG00000299489	lncRNA
	ENSG00000299503	lncRNA
	ENSG00000299520	lncRNA
	ENSG00000299567	lncRNA
	ENSG00000299581	lncRNA
FAM230F	ENSG00000276095	lncRNA
KIR3DP1	ENSG00000276035	unprocessed_pseudogene
KIR2DL4	ENSG00000277964	protein_coding
	ENSG00000279945	TEC
	ENSG00000273792	lncRNA
	ENSG00000299619	lncRNA
RNU6-222P	ENSG00000277153	snRNA
LILRP2	ENSG00000274842	transcribed_processed_pseudogene
	ENSG00000299733	lncRNA
	ENSG00000299757	lncRNA
SYN3-AS1	ENSG00000236054	lncRNA
LILRP2	ENSG00000293046	lncRNA
	ENSG00000299801	lncRNA
	ENSG00000299803	lncRNA
CEP152	ENSG00000103995	protein_coding
LINC01637	ENSG00000237476	lncRNA
	ENSG00000289489	lncRNA
	ENSG00000300120	lncRNA
	ENSG00000300226	lncRNA
	ENSG00000300440	lncRNA
	ENSG00000300451	lncRNA
	ENSG00000300548	lncRNA
	ENSG00000300623	lncRNA
	ENSG00000300724	lncRNA
	ENSG00000300754	lncRNA
	ENSG00000300892	lncRNA
	ENSG00000300936	lncRNA
	ENSG00000300959	lncRNA
LINC01644	ENSG00000218357	lncRNA
	ENSG00000271148	lncRNA
UFM1P3	ENSG00000253299	processed_pseudogene
	ENSG00000300982	lncRNA
CYP4F44P	ENSG00000253748	unprocessed_pseudogene
	ENSG00000300998	lncRNA
	ENSG00000301075	lncRNA
	ENSG00000228620	lncRNA
KCNV1	ENSG00000164794	protein_coding
	ENSG00000301306	lncRNA
	ENSG00000301322	lncRNA
	ENSG00000301328	lncRNA
	ENSG00000286508	lncRNA
	ENSG00000301405	lncRNA
	ENSG00000301473	lncRNA
KIR3DL1	ENSG00000277272	protein_coding
	ENSG00000271971	lncRNA
	ENSG00000301496	lncRNA
	ENSG00000301505	lncRNA
MTCYBP20	ENSG00000254118	processed_pseudogene
	ENSG00000253260	lncRNA
	ENSG00000279954	lncRNA
	ENSG00000253585	lncRNA
BRIX1P1	ENSG00000254025	processed_pseudogene
	ENSG00000253271	processed_pseudogene
	ENSG00000235091	lncRNA
RPL10AP3	ENSG00000215264	processed_pseudogene
GPR119	ENSG00000147262	protein_coding
RPL7L1P17	ENSG00000255361	processed_pseudogene
CYTH1P1	ENSG00000271286	processed_pseudogene
METTL15P3	ENSG00000224396	processed_pseudogene
CHRNB3	ENSG00000147432	protein_coding
	ENSG00000275608	protein_coding
RNU6-266P	ENSG00000201095	snRNA
	ENSG00000231011	processed_pseudogene
	ENSG00000237019	lncRNA
KIR2DS2	ENSG00000284033	protein_coding
PHEX	ENSG00000102174	protein_coding
	ENSG00000301561	lncRNA
	ENSG00000301612	lncRNA
	ENSG00000290415	lncRNA
BNIP3P6	ENSG00000257356	processed_pseudogene
	ENSG00000301723	lncRNA
TRDJ1	ENSG00000211825	TR_J_gene
TRDV2	ENSG00000211821	TR_V_gene
	ENSG00000301739	lncRNA
TRAJ60	ENSG00000249446	TR_J_pseudogene
MTND2P38	ENSG00000253828	unprocessed_pseudogene
	ENSG00000257171	transcribed_unprocessed_pseudogene
	ENSG00000301754	lncRNA
	ENSG00000301767	lncRNA
LARGE1-AS1	ENSG00000273082	lncRNA
TRDD1	ENSG00000223997	TR_D_gene
	ENSG00000287034	lncRNA
RPL30-AS1	ENSG00000245970	lncRNA
TRAJ54	ENSG00000211836	TR_J_gene
	ENSG00000280393	TEC
TRAJ49	ENSG00000211840	TR_J_gene
SRSF3P2	ENSG00000254079	processed_pseudogene
	ENSG00000254273	processed_pseudogene
TRDJ3	ENSG00000211828	TR_J_gene
	ENSG00000291015	lncRNA
UBE2HP1	ENSG00000253677	processed_pseudogene
TRDD3	ENSG00000228985	TR_D_gene
TSPYL5	ENSG00000180543	protein_coding
TRAJ48	ENSG00000211841	TR_J_gene
TRAJ59	ENSG00000211832	TR_J_gene
	ENSG00000256221	processed_pseudogene
TRAJ61	ENSG00000211831	TR_J_gene
TRDC	ENSG00000211829	TR_C_gene
TRAJ58	ENSG00000211833	TR_J_gene
TRDJ4	ENSG00000211826	TR_J_gene
KCNS2	ENSG00000156486	protein_coding
TRAJ47	ENSG00000211842	TR_J_gene
TRDJ2	ENSG00000211827	TR_J_gene
TRAJ56	ENSG00000211835	TR_J_gene
KIAA1143P1	ENSG00000259086	processed_pseudogene
ARHGAP16P	ENSG00000258894	processed_pseudogene
	ENSG00000253171	lncRNA
	ENSG00000309272	lncRNA
TRDD2	ENSG00000237235	TR_D_gene
	ENSG00000309276	lncRNA
TRAJ53	ENSG00000211837	TR_J_gene
	ENSG00000287654	lncRNA
	ENSG00000272155	lncRNA
KRT8P2	ENSG00000258828	processed_pseudogene
	ENSG00000253509	lncRNA
	ENSG00000309290	lncRNA
TRAJ45	ENSG00000211844	TR_J_gene
	ENSG00000254236	lncRNA
PDXK	ENSG00000160209	protein_coding
	ENSG00000278914	TEC
	ENSG00000259157	unprocessed_pseudogene
MTCO2P4	ENSG00000253977	processed_pseudogene
ATP5MC2P2	ENSG00000258401	processed_pseudogene
UBOX5-AS1	ENSG00000235958	lncRNA
TRAJ52	ENSG00000211838	TR_J_gene
	ENSG00000254057	lncRNA
	ENSG00000284225	protein_coding
TRAJ55	ENSG00000250688	TR_J_pseudogene
	ENSG00000253493	processed_pseudogene
	ENSG00000258619	processed_pseudogene
	ENSG00000259607	lncRNA
	ENSG00000258381	processed_pseudogene
	ENSG00000260640	lncRNA
	ENSG00000258901	processed_pseudogene
	ENSG00000283742	protein_coding
KCNB2-AS1	ENSG00000253784	lncRNA
	ENSG00000309312	lncRNA
	ENSG00000288100	lncRNA
TRPS1-AS1	ENSG00000227170	lncRNA
	ENSG00000309339	lncRNA
	ENSG00000257472	lncRNA
	ENSG00000290421	lncRNA
BTF3P1	ENSG00000254225	processed_pseudogene
GLRX5P3	ENSG00000271424	processed_pseudogene
	ENSG00000258850	lncRNA
NPM1P52	ENSG00000253663	processed_pseudogene
TRDV3	ENSG00000256590	TR_V_gene
RPL30P10	ENSG00000243050	processed_pseudogene
	ENSG00000259042	lncRNA
RPS26P6	ENSG00000212994	processed_pseudogene
PLCB1-IT1	ENSG00000225479	lncRNA
	ENSG00000258387	processed_pseudogene
	ENSG00000271882	lncRNA
LINC02307	ENSG00000258969	lncRNA
	ENSG00000233574	lncRNA
	ENSG00000309405	lncRNA
	ENSG00000253195	unprocessed_pseudogene
KRT8P1	ENSG00000258948	processed_pseudogene
	ENSG00000254316	processed_pseudogene
	ENSG00000254000	lncRNA
	ENSG00000284217	protein_coding
	ENSG00000309571	lncRNA
	ENSG00000258868	lncRNA
SUMO2P18	ENSG00000253639	processed_pseudogene
DGCR5	ENSG00000273032	lncRNA
	ENSG00000309600	lncRNA
TRAJ51	ENSG00000248366	TR_J_pseudogene
HMGN2P6	ENSG00000257179	processed_pseudogene
	ENSG00000223593	processed_pseudogene
NASPP1	ENSG00000255397	processed_pseudogene
	ENSG00000258782	lncRNA
SDCBPP2	ENSG00000247570	processed_pseudogene
RPS3AP46	ENSG00000226132	processed_pseudogene
	ENSG00000285608	lncRNA
	ENSG00000253997	processed_pseudogene
PSMA3P1	ENSG00000258563	processed_pseudogene
	ENSG00000291100	lncRNA
	ENSG00000253800	processed_pseudogene
PPIAP5	ENSG00000258996	processed_pseudogene
SNAI2	ENSG00000019549	protein_coding
	ENSG00000271468	processed_pseudogene
KIR2DS1	ENSG00000284560	protein_coding
TRAJ57	ENSG00000211834	TR_J_gene
MAD2L1P1	ENSG00000258445	processed_pseudogene
GNRHR2P1	ENSG00000259169	unprocessed_pseudogene
RPL31P4	ENSG00000213598	processed_pseudogene
RPS12P15	ENSG00000240724	processed_pseudogene
	ENSG00000258943	lncRNA
	ENSG00000231922	processed_pseudogene
	ENSG00000253489	lncRNA
	ENSG00000241354	processed_pseudogene
KIR2DL5A	ENSG00000275596	protein_coding
	ENSG00000259111	lncRNA
RPL31P41	ENSG00000239261	processed_pseudogene
	ENSG00000273978	unprocessed_pseudogene
	ENSG00000258638	processed_pseudogene
	ENSG00000270682	processed_pseudogene
KIR2DS1	ENSG00000273603	protein_coding
	ENSG00000287481	lncRNA
	ENSG00000253622	lncRNA
	ENSG00000258505	transcribed_processed_pseudogene
	ENSG00000253750	processed_pseudogene
	ENSG00000244756	processed_pseudogene
RPSAP48	ENSG00000240590	processed_pseudogene
KIR3DL2	ENSG00000275511	protein_coding
	ENSG00000286730	lncRNA
	ENSG00000253614	lncRNA
ATP5F1CP1	ENSG00000224004	processed_pseudogene
	ENSG00000278193	unprocessed_pseudogene
EIF1AXP2	ENSG00000258980	processed_pseudogene
	ENSG00000237061	lncRNA
	ENSG00000258535	lncRNA
	ENSG00000272321	lncRNA
	ENSG00000254247	processed_pseudogene
MTND1P5	ENSG00000253795	processed_pseudogene
RPL17P2	ENSG00000242135	processed_pseudogene
NRBF2P4	ENSG00000253228	processed_pseudogene
SIX6	ENSG00000184302	protein_coding
SUMO2P20	ENSG00000253721	processed_pseudogene
	ENSG00000253619	lncRNA
KIR2DS4	ENSG00000274947	protein_coding
	ENSG00000259402	lncRNA
	ENSG00000253911	lncRNA
NSA2P4	ENSG00000259750	processed_pseudogene
	ENSG00000270794	processed_pseudogene
KIR3DL2	ENSG00000284528	protein_coding
FER1L6-AS1	ENSG00000181171	lncRNA
TFDP1P3	ENSG00000259493	processed_pseudogene
	ENSG00000258796	processed_pseudogene
MAGEB2	ENSG00000099399	protein_coding
KIR3DL2	ENSG00000278442	protein_coding
NMNAT1P5	ENSG00000259573	processed_pseudogene
	ENSG00000259047	processed_pseudogene
	ENSG00000286282	lncRNA
SIX4	ENSG00000100625	protein_coding
MAGEB4	ENSG00000120289	protein_coding
	ENSG00000259340	processed_pseudogene
MRPS36P3	ENSG00000253814	processed_pseudogene
PLCE1P1	ENSG00000276940	unprocessed_pseudogene
	ENSG00000254492	processed_pseudogene
	ENSG00000258965	processed_pseudogene
FBXO43	ENSG00000156509	protein_coding
GABRE	ENSG00000102287	protein_coding
	ENSG00000258931	lncRNA
	ENSG00000230459	processed_pseudogene
MIR5701-3	ENSG00000264902	miRNA
RNU6-631P	ENSG00000200790	snRNA
RNA5SP390	ENSG00000222123	rRNA_pseudogene
MIR4715	ENSG00000266517	miRNA
	ENSG00000212604	snoRNA
MIR3118-4	ENSG00000265793	miRNA
MIR4510	ENSG00000265098	miRNA
MIR3942	ENSG00000265102	miRNA
RNU6-1014P	ENSG00000238456	snRNA
RN7SKP101	ENSG00000223308	misc_RNA
RNU1-119P	ENSG00000212424	snRNA
RN7SKP139	ENSG00000222343	misc_RNA
	ENSG00000238819	snoRNA
RNA5SP394	ENSG00000201086	rRNA_pseudogene
	ENSG00000200605	misc_RNA
	ENSG00000207105	misc_RNA
RN7SL577P	ENSG00000265942	misc_RNA
SALL4P7	ENSG00000258692	transcribed_processed_pseudogene
	ENSG00000200120	misc_RNA
SUMO2P19	ENSG00000253328	unprocessed_pseudogene
MIR4716	ENSG00000264210	miRNA
RN7SL307P	ENSG00000243338	misc_RNA
CCDC175	ENSG00000151838	protein_coding
RN7SL494P	ENSG00000241175	misc_RNA
	ENSG00000302057	lncRNA
RN7SL568P	ENSG00000239703	misc_RNA
RN7SKP95	ENSG00000199730	misc_RNA
CABP7-DT	ENSG00000232396	lncRNA
LINC01181	ENSG00000250929	lncRNA
SNORD3P1	ENSG00000200318	snoRNA
RNA5SP397	ENSG00000212625	rRNA_pseudogene
MIR2116	ENSG00000253030	miRNA
	ENSG00000255107	processed_pseudogene
RNU4-80P	ENSG00000200070	snRNA
	ENSG00000302134	lncRNA
RNU6-212P	ENSG00000199512	snRNA
EEF1A1P37	ENSG00000254124	processed_pseudogene
	ENSG00000302270	lncRNA
	ENSG00000200252	misc_RNA
	ENSG00000277413	misc_RNA
LINC01310	ENSG00000205632	lncRNA
	ENSG00000276696	misc_RNA
RNU6-1	ENSG00000206625	snRNA
NDUFS5P6	ENSG00000255531	processed_pseudogene
RNU6-745P	ENSG00000200216	snRNA
MIR629	ENSG00000207965	miRNA
RN7SL429P	ENSG00000278604	misc_RNA
MTND1P7	ENSG00000282321	unprocessed_pseudogene
MIR6882	ENSG00000275411	miRNA
RNU6-380P	ENSG00000222139	snRNA
	ENSG00000250727	processed_pseudogene
MIR4513	ENSG00000264386	miRNA
MIR5572	ENSG00000284059	miRNA
RNU6-401P	ENSG00000212374	snRNA
RNU6-1339P	ENSG00000200444	snRNA
	ENSG00000253207	lncRNA
MIR3713	ENSG00000266449	miRNA
RN7SKP217	ENSG00000201510	misc_RNA
MIR1179	ENSG00000221630	miRNA
RNU6-185P	ENSG00000207150	snRNA
MIR7-2	ENSG00000207703	miRNA
MIR3529	ENSG00000283484	miRNA
FAM230I	ENSG00000178248	lncRNA
	ENSG00000215288	processed_pseudogene
MIR1469	ENSG00000283888	miRNA
RN7SKP254	ENSG00000222617	misc_RNA
	ENSG00000274079	misc_RNA
RNU2-3P	ENSG00000222076	snRNA
	ENSG00000253845	processed_pseudogene
	ENSG00000259415	lncRNA
	ENSG00000200991	snoRNA
SNORD116-29	ENSG00000207245	snoRNA
SNORD116-30	ENSG00000252277	snoRNA
PWAR1	ENSG00000279050	TEC
	ENSG00000212428	snoRNA
NCALD	ENSG00000104490	protein_coding
DMAC1P1	ENSG00000270814	processed_pseudogene
SNORD115-1	ENSG00000201831	snoRNA
SNORD115-2	ENSG00000199712	snoRNA
SNORD115-3	ENSG00000199970	snoRNA
SCOCP1	ENSG00000258896	processed_pseudogene
SNORD115-4	ENSG00000200680	snoRNA
SNORD115-5	ENSG00000200503	snoRNA
SNORD115-6	ENSG00000200812	snoRNA
SNORD115-7	ENSG00000278089	snoRNA
SNORD115-8	ENSG00000200726	snoRNA
SNORD115-9	ENSG00000199782	snoRNA
SNORD115-10	ENSG00000201943	snoRNA
	ENSG00000275782	snRNA
SNORD115-11	ENSG00000200486	snoRNA
KIR2DS5	ENSG00000275047	protein_coding
SNORD115-12	ENSG00000199453	snoRNA
PCNX1	ENSG00000100731	protein_coding
SNORD115-13	ENSG00000273835	snoRNA
SNORD115-14	ENSG00000199960	snoRNA
SNORD115-15	ENSG00000201679	snoRNA
SNORD115-16	ENSG00000200757	snoRNA
SNORD115-17	ENSG00000201482	snoRNA
SNORD115-18	ENSG00000200163	snoRNA
SNORD115-19	ENSG00000199968	snoRNA
SNORD115-20	ENSG00000201969	snoRNA
MIR224	ENSG00000284363	miRNA
MIR452	ENSG00000283751	miRNA
SNORD115-21	ENSG00000199833	snoRNA
SNORD115-22	ENSG00000201326	snoRNA
FRMPD3	ENSG00000147234	protein_coding
SNORD115-23	ENSG00000201331	snoRNA
SNORD115-24	ENSG00000200398	snoRNA
SNORD115-25	ENSG00000199489	snoRNA
SNORD115-26	ENSG00000275524	snoRNA
SNORD115-27	ENSG00000201300	snoRNA
SNORD115-28	ENSG00000200801	snoRNA
SNORD115-29	ENSG00000199704	snoRNA
SNORD115-30	ENSG00000200987	snoRNA
SNORD115-31	ENSG00000202188	snoRNA
SNORD115-32	ENSG00000200949	snoRNA
SNORD115-33	ENSG00000200593	snoRNA
SNORD115-34	ENSG00000199311	snoRNA
SNORD115-35	ENSG00000201992	snoRNA
SNORD115-36	ENSG00000202499	snoRNA
	ENSG00000275168	snRNA
SNORD115-37	ENSG00000200638	snoRNA
SNORD115-38	ENSG00000201907	snoRNA
SNORD115-39	ENSG00000200564	snoRNA
SNORD115-40	ENSG00000272460	snoRNA
SNORD115-41	ENSG00000200478	snoRNA
SNORD115-42	ENSG00000201143	snoRNA
SNORD115-43	ENSG00000202373	snoRNA
SNORD115-44	ENSG00000202261	snoRNA
	ENSG00000280234	TEC
SNORD115-45	ENSG00000212380	snoRNA
SNORD115-46	ENSG00000276844	snoRNA
SNORD115-47	ENSG00000212528	snoRNA
RNU6-222P	ENSG00000284303	snRNA
SNORD115-48	ENSG00000201634	snoRNA
TYMS	ENSG00000176890	protein_coding
SNORD109B	ENSG00000239169	snoRNA
FCAR	ENSG00000284061	protein_coding
SEPHS1P4	ENSG00000230146	processed_pseudogene
	ENSG00000261529	lncRNA
	ENSG00000274655	misc_RNA
	ENSG00000274954	lncRNA
	ENSG00000277577	misc_RNA
	ENSG00000278039	misc_RNA
	ENSG00000277677	misc_RNA
FXYD6P3	ENSG00000182707	processed_pseudogene
	ENSG00000259632	processed_pseudogene
	ENSG00000274430	misc_RNA
	ENSG00000276784	misc_RNA
	ENSG00000271199	lncRNA
	ENSG00000207484	misc_RNA
	ENSG00000259201	lncRNA
SHISA5P2	ENSG00000203397	processed_pseudogene
UHRF2P1	ENSG00000223650	processed_pseudogene
RNU6-90P	ENSG00000272337	snRNA
DDX3P1	ENSG00000232928	processed_pseudogene
	ENSG00000259185	lncRNA
LRRC37A2	ENSG00000274332	protein_coding
	ENSG00000280375	TEC
DDX3P2	ENSG00000230986	processed_pseudogene
MKRN5P	ENSG00000224430	processed_pseudogene
SDCBPP3	ENSG00000232801	processed_pseudogene
RPL32P36	ENSG00000189145	processed_pseudogene
STRC	ENSG00000242866	protein_coding
RPS2P55	ENSG00000216866	processed_pseudogene
	ENSG00000287549	lncRNA
CLIC4P3	ENSG00000237931	processed_pseudogene
TRMT2B-AS1	ENSG00000225839	lncRNA
TMEM35A	ENSG00000126950	protein_coding
	ENSG00000230051	lncRNA
YWHAQP8	ENSG00000231643	processed_pseudogene
SAT1	ENSG00000130066	protein_coding
	ENSG00000302395	lncRNA
	ENSG00000302501	lncRNA
	ENSG00000293159	lncRNA
	ENSG00000302582	lncRNA
	ENSG00000302604	lncRNA
	ENSG00000302643	lncRNA
	ENSG00000289960	lncRNA
	ENSG00000302740	lncRNA
	ENSG00000273428	lncRNA
OR13H1	ENSG00000171054	protein_coding
SPACA5B	ENSG00000171478	protein_coding
	ENSG00000286144	lncRNA
	ENSG00000302840	lncRNA
	ENSG00000280786	lncRNA
STARD8	ENSG00000130052	protein_coding
	ENSG00000253564	processed_pseudogene
MAPT-IT1	ENSG00000281284	lncRNA
	ENSG00000302854	lncRNA
ARF1P3	ENSG00000253885	processed_pseudogene
	ENSG00000302858	lncRNA
	ENSG00000253942	processed_pseudogene
MAPT	ENSG00000276155	protein_coding
	ENSG00000302882	lncRNA
SLEAR	ENSG00000248599	lncRNA
C22orf46P	ENSG00000293428	lncRNA
	ENSG00000289481	lncRNA
RPL29P18	ENSG00000240271	processed_pseudogene
	ENSG00000302971	lncRNA
	ENSG00000253398	lncRNA
	ENSG00000302993	lncRNA
	ENSG00000253726	lncRNA
CYCSP23	ENSG00000253495	processed_pseudogene
	ENSG00000303026	lncRNA
ODF1	ENSG00000155087	protein_coding
	ENSG00000290922	lncRNA
CYB5A	ENSG00000166347	protein_coding
	ENSG00000303129	lncRNA
	ENSG00000254347	lncRNA
RPL17P31	ENSG00000241961	processed_pseudogene
	ENSG00000253717	lncRNA
NDUFA5P2	ENSG00000253454	processed_pseudogene
RPS10P16	ENSG00000239917	unprocessed_pseudogene
LINC03084	ENSG00000254041	lncRNA
RPS20P20	ENSG00000241942	processed_pseudogene
SNTB1-AS1	ENSG00000272502	lncRNA
	ENSG00000303151	lncRNA
	ENSG00000271219	processed_pseudogene
MTCO1P4	ENSG00000253556	processed_pseudogene
	ENSG00000303177	lncRNA
MAGEB3	ENSG00000198798	protein_coding
	ENSG00000303189	lncRNA
	ENSG00000303227	lncRNA
CXorf49B	ENSG00000215113	protein_coding
PDCL3P2	ENSG00000282989	processed_pseudogene
	ENSG00000291085	lncRNA
RPL30P16	ENSG00000230169	processed_pseudogene
H2AZP2	ENSG00000253173	processed_pseudogene
	ENSG00000283925	lncRNA
KIR2DS4	ENSG00000274324	protein_coding
TRMT10BP1	ENSG00000253580	processed_pseudogene
	ENSG00000274130	unprocessed_pseudogene
OPN1MW2	ENSG00000166160	protein_coding
	ENSG00000278731	protein_coding
	ENSG00000272010	lncRNA
	ENSG00000260368	lncRNA
PRXL2AP2	ENSG00000254213	processed_pseudogene
	ENSG00000286701	lncRNA
KIR3DL3	ENSG00000277620	protein_coding
NACAP10	ENSG00000254253	processed_pseudogene
	ENSG00000253629	lncRNA
	ENSG00000285890	lncRNA
PPIAP86	ENSG00000213873	processed_pseudogene
B3GALT5	ENSG00000183778	protein_coding
SOD1P3	ENSG00000253651	processed_pseudogene
TRAPPC2P2	ENSG00000253124	processed_pseudogene
ATP5PFP3	ENSG00000254112	processed_pseudogene
PGAM1P13	ENSG00000248838	processed_pseudogene
	ENSG00000272479	lncRNA
BHLHE22	ENSG00000180828	protein_coding
GPHB5	ENSG00000179600	protein_coding
NDUFB9P3	ENSG00000253994	processed_pseudogene
FAM236D	ENSG00000225396	protein_coding
KCNB2	ENSG00000182674	protein_coding
ACTRT1	ENSG00000123165	protein_coding
CXorf49	ENSG00000215115	protein_coding
ATP5F1AP4	ENSG00000258877	processed_pseudogene
BTF3P12	ENSG00000213003	processed_pseudogene
	ENSG00000258734	processed_pseudogene
	ENSG00000287949	lncRNA
SALRNA1	ENSG00000258952	lncRNA
TMCC1P1	ENSG00000253318	processed_pseudogene
CCDC177	ENSG00000267909	protein_coding
RPS26P35	ENSG00000242206	processed_pseudogene
PTCSC1	ENSG00000287736	lncRNA
CTAG1B	ENSG00000184033	protein_coding
	ENSG00000254037	processed_pseudogene
RPL36AP31	ENSG00000227753	processed_pseudogene
	ENSG00000258760	lncRNA
CARS1P2	ENSG00000253756	processed_pseudogene
KIR2DL1	ENSG00000277616	protein_coding
RPSAP74	ENSG00000253621	processed_pseudogene
	ENSG00000254557	lncRNA
KCNH5	ENSG00000140015	protein_coding
	ENSG00000243939	processed_pseudogene
CTAG2	ENSG00000126890	protein_coding
	ENSG00000283686	unprocessed_pseudogene
LINC01299	ENSG00000254081	lncRNA
PMAIP1	ENSG00000141682	protein_coding
	ENSG00000255130	lncRNA
PKHD1L1	ENSG00000205038	protein_coding
TTC39C	ENSG00000168234	protein_coding
KIR3DL1	ENSG00000276501	protein_coding
AMOT	ENSG00000126016	protein_coding
RNU6-554P	ENSG00000222398	snRNA
	ENSG00000288106	lncRNA
USP25	ENSG00000155313	protein_coding
	ENSG00000284772	protein_coding
RNU6-610P	ENSG00000206991	snRNA
	ENSG00000275601	lncRNA
LINC01589	ENSG00000238120	lncRNA
PDIA3P2	ENSG00000224677	unprocessed_pseudogene
PPIP5K1P1	ENSG00000249839	unprocessed_pseudogene
SKA3	ENSG00000165480	protein_coding
RNU6-353P	ENSG00000201136	snRNA
RNU6-354P	ENSG00000206589	snRNA
ELL3	ENSG00000128886	protein_coding
	ENSG00000258490	lncRNA
PARP1P2	ENSG00000258995	processed_pseudogene
	ENSG00000258764	transcribed_processed_pseudogene
AKR1B1P5	ENSG00000258685	processed_pseudogene
	ENSG00000277651	lncRNA
	ENSG00000258930	transcribed_processed_pseudogene
	ENSG00000227880	lncRNA
PTTG1P1	ENSG00000258571	processed_pseudogene
RAP1AP	ENSG00000258769	processed_pseudogene
MIRLET7BHG	ENSG00000197182	lncRNA
RMB8AP1	ENSG00000258427	processed_pseudogene
	ENSG00000309737	lncRNA
TUBBP3	ENSG00000258406	processed_pseudogene
	ENSG00000279423	TEC
	ENSG00000289492	lncRNA
NCOA4P1	ENSG00000258629	processed_pseudogene
	ENSG00000309883	lncRNA
	ENSG00000259124	lncRNA
RPL23AP71	ENSG00000237450	processed_pseudogene
	ENSG00000244237	processed_pseudogene
	ENSG00000259055	lncRNA
	ENSG00000309911	lncRNA
	ENSG00000269945	lncRNA
	ENSG00000309924	lncRNA
	ENSG00000270000	lncRNA
PAGE3	ENSG00000204279	protein_coding
	ENSG00000309927	lncRNA
	ENSG00000273797	lncRNA
SPTSSA	ENSG00000165389	protein_coding
	ENSG00000309956	lncRNA
PLEKHM1	ENSG00000277111	protein_coding
	ENSG00000258639	processed_pseudogene
PTPRT-DT	ENSG00000233508	lncRNA
	ENSG00000259008	lncRNA
	ENSG00000259079	processed_pseudogene
SSX4B	ENSG00000269791	protein_coding
	ENSG00000260046	lncRNA
	ENSG00000258836	processed_pseudogene
LILRP1	ENSG00000275112	unprocessed_pseudogene
GTF3AP2	ENSG00000258966	transcribed_processed_pseudogene
KIR2DS2	ENSG00000274518	protein_coding
HNRNPUP1	ENSG00000259051	processed_pseudogene
	ENSG00000290901	lncRNA
