HGNC_approved_gene_symbol	HGNC_approved_gene_name	Pseudogene	UniProt_ID	Ensembl_ID	inSupplement	inQuickGO	dbTF_GO_annotation,_2019_(1347_genes)	Vaquerizas,_2009_(1536_genes)	TFCheckPoint,_Chawla,_2013_(1012_genes)	Saeed,_2014_(1572_genes)	Schmeier,_2017_(1750_genes)	TFClass,_Wingender,_2018_(1488_genes)	Lambert,_2018_(1630_TF_genes)	HumanTFDB,_Hu_et_al,_2019_(1637_genes)	Number_of_dbTF_lists	HT-SELEX,_Yin,_2017_(541_genes)_	PANTHER_family_ID	PANTHER_subfamily_ID	PANTHER_family_name
IKZF5	IKAROS_family_zinc_finger_5		Q9H5V7	ENSG00000095574	1	1	IKZF5	b	IKZF5	IKZF5	IKZF5	2.3.4.4.5	IKZF5	IKZF5	7		PTHR24404	SF55	ZINC_FINGER_PROTEIN_PEGASUS
INSM1	INSM_transcriptional_repressor_1		Q01101	ENSG00000173404	1	1	INSM1	a	INSM1	INSM1	INSM1	2.3.4.16.1	INSM1	INSM1	7		PTHR15065	SF5	INSULINOMA-ASSOCIATED_PROTEIN_1
INSM2	INSM_transcriptional_repressor_2		Q96T92	ENSG00000168348	1	1	INSM2	b		INSM2	INSM2	2.3.4.16.2	INSM2	INSM2	6		PTHR15065	SF6	INSULINOMA-ASSOCIATED_PROTEIN_2
IRF1	interferon_regulatory_factor_1		P10914	ENSG00000125347	1	1	IRF1	a	IRF1	IRF1	IRF1	3.5.3.0.1	IRF1	IRF1	7		PTHR11949	SF3	INTERFERON_REGULATORY_FACTOR_1
IRF2	interferon_regulatory_factor_2		P14316	ENSG00000168310	1	1	IRF2	a	IRF2	IRF2	IRF2	3.5.3.0.2	IRF2	IRF2	7	IRF2	PTHR11949	SF22	INTERFERON_REGULATORY_FACTOR_2
IRF3	interferon_regulatory_factor_3		Q14653	ENSG00000126456	1	1	IRF3	a	IRF3	IRF3	IRF3	3.5.3.0.3	IRF3	IRF3	7	IRF3	PTHR11949	SF1	INTERFERON_REGULATORY_FACTOR_3
IRF4	interferon_regulatory_factor_4		Q15306	ENSG00000137265	1	1	IRF4	a	IRF4	IRF4	IRF4	3.5.3.0.4	IRF4	IRF4	7	IRF4	PTHR11949	SF6	INTERFERON_REGULATORY_FACTOR_4
IRF5	interferon_regulatory_factor_5		Q13568	ENSG00000128604	1	1	IRF5	a	IRF5	IRF5	IRF5	3.5.3.0.5	IRF5	IRF5	7	IRF5	PTHR11949	SF10	INTERFERON_REGULATORY_FACTOR_5
IRF6	interferon_regulatory_factor_6		O14896	ENSG00000117595	1	1	IRF6	a	IRF6	IRF6	IRF6	3.5.3.0.6	IRF6	IRF6	7	IRF6	PTHR11949	SF9	INTERFERON_REGULATORY_FACTOR_6
IRF7	interferon_regulatory_factor_7		Q92985	ENSG00000185507	1	1	IRF7	a	IRF7	IRF7	IRF7	3.5.3.0.7	IRF7	IRF7	7	IRF7	PTHR11949	SF2	INTERFERON_REGULATORY_FACTOR_7
IRF8	interferon_regulatory_factor_8		Q02556	ENSG00000140968	1	1	IRF8	a	IRF8	IRF8	IRF8	3.5.3.0.8	IRF8	IRF8	7	IRF8	PTHR11949	SF7	INTERFERON_REGULATORY_FACTOR_8
IRF9	interferon_regulatory_factor_9		Q00978	ENSG00000213928	1	1	IRF9	a	IRF9	IRF9	IRF9	3.5.3.0.9	IRF9	IRF9	7	IRF9	PTHR11949	SF26	INTERFERON_REGULATORY_FACTOR_9
IRX1	iroquois_homeobox_1		P78414	ENSG00000170549	1	1	IRX1	a	IRX1	IRX1	IRX1	3.1.4.1.1	IRX1	IRX1	7	IRX1	PTHR11211	SF13	IROQUOIS-CLASS_HOMEODOMAIN_PROTEIN_IRX-1
IRX2	iroquois_homeobox_2		Q9BZI1	ENSG00000170561	1	1	IRX2	a	IRX2	IRX2	IRX2	3.1.4.1.2	IRX2	IRX2	7		PTHR11211	SF15	IROQUOIS-CLASS_HOMEODOMAIN_PROTEIN_IRX-2
IRX3	iroquois_homeobox_3		P78415	ENSG00000177508	1	1	IRX3	a	IRX3	IRX3	IRX3	3.1.4.1.3	IRX3	IRX3	7	IRX3	PTHR11211	SF14	IROQUOIS-CLASS_HOMEODOMAIN_PROTEIN_IRX-3
IRX4	iroquois_homeobox_4		P78413	ENSG00000113430	1	1	IRX4	a		IRX4	IRX4	3.1.4.1.4	IRX4	IRX4	6		PTHR11211	SF16	IROQUOIS-CLASS_HOMEODOMAIN_PROTEIN_IRX-4
IRX5	iroquois_homeobox_5		P78411	ENSG00000176842	1	1	IRX5	b	IRX5	IRX5	IRX5	3.1.4.1.5	IRX5	IRX5	7	IRX5	PTHR11211	SF17	IROQUOIS-CLASS_HOMEODOMAIN_PROTEIN_IRX-5
IRX6	iroquois_homeobox_6		P78412	ENSG00000159387	1	1	IRX6	a	IRX6	IRX6	IRX6	3.1.4.1.6	IRX6	IRX6	7		PTHR11211	SF11	IROQUOIS-CLASS_HOMEODOMAIN_PROTEIN_IRX-6
ISL1	ISL_LIM_homeobox_1		P61371	ENSG00000016082	1	1	ISL1	a	ISL1	ISL1	ISL1	3.1.5.1.1	ISL1	ISL1	7	ISL1	PTHR24204	SF4	INSULIN_GENE_ENHANCER_PROTEIN_ISL-1
ISL2	ISL_LIM_homeobox_2		Q96A47	ENSG00000159556	1	1	ISL2	a	ISL2	ISL2	ISL2	3.1.5.1.2	ISL2	ISL2	7	ISL2	PTHR24204	SF2	INSULIN_GENE_ENHANCER_PROTEIN_ISL-2
ISX	intestine_specific_homeobox		Q2M1V0	ENSG00000175329	1	1	ISX	b		ISX	ISX	3.1.3.12.1	ISX	ISX	6	ISX	PTHR24329	SF362	INTESTINE-SPECIFIC_HOMEOBOX
JDP2	Jun_dimerization_protein_2		Q8WYK2	ENSG00000140044	1	1	JDP2	b	JDP2	JDP2	JDP2	1.1.2.2.2	JDP2	JDP2	7	JDP2	PTHR23351	SF10	JUN_DIMERIZATION_PROTEIN_2
JPH2	junctophilin_2		Q9BR39	ENSG00000149596	1	1	JPH2								0		PTHR23085	SF26	JUNCTOPHILIN-2
JUN	Jun_proto-oncogene,_AP-1_transcription_factor_subunit		P05412	ENSG00000177606	1	1	JUN	a	JUN	JUN	JUN	1.1.1.1.1	JUN	JUN	7	JUN	PTHR11462	SF8	TRANSCRIPTION_FACTOR_AP-1
JUNB	JunB_proto-oncogene,_AP-1_transcription_factor_subunit		P17275	ENSG00000171223	1	1	JUNB	a	JUNB	JUNB	JUNB	1.1.1.1.2	JUNB	JUNB	7	JUNB	PTHR11462	SF37	TRANSCRIPTION_FACTOR_JUN-B
JUND	JunD_proto-oncogene,_AP-1_transcription_factor_subunit		P17535	ENSG00000130522	1	1	JUND	a	JUND	JUND	JUND	1.1.1.1.3	JUND	JUND	7	JUND	PTHR11462	SF7	TRANSCRIPTION_FACTOR_JUN-D
KCNIP3	potassium_voltage-gated_channel_interacting_protein_3		Q9Y2W7	ENSG00000115041	1	1	KCNIP3		KCNIP3		KCNIP3		KCNIP3		3		PTHR23055	SF165	CALSENILIN
KLF1	Kruppel_like_factor_1		Q13351	ENSG00000105610	1	1	KLF1	a	KLF1	KLF1	KLF1	2.3.1.2.1	KLF1	KLF1	7		PTHR23235	SF63	KRUEPPEL-LIKE_FACTOR_1
KLF10	Kruppel_like_factor_10		Q13118	ENSG00000155090	1	1	KLF10	a	KLF10	KLF10	KLF10	2.3.1.2.10	KLF10	KLF10	7	KLF10	PTHR23235	SF64	KRUEPPEL-LIKE_FACTOR_10
KLF11	Kruppel_like_factor_11		O14901	ENSG00000172059	1	1	KLF11	a	KLF11	KLF11	KLF11	2.3.1.2.11	KLF11	KLF11	7	KLF11	PTHR23235	SF65	KRUEPPEL-LIKE_FACTOR_11
KLF12	Kruppel_like_factor_12		Q9Y4X4	ENSG00000118922	1	1	KLF12	a	KLF12	KLF12	KLF12	2.3.1.2.12	KLF12	KLF12	7	KLF12	PTHR23235	SF56	KRUEPPEL-LIKE_FACTOR_12
KLF13	Kruppel_like_factor_13		Q9Y2Y9	ENSG00000169926	1	1	KLF13	a	KLF13	KLF13	KLF13	2.3.1.2.13	KLF13	KLF13	7	KLF13	PTHR23235	SF21	KRUEPPEL-LIKE_FACTOR_13
KLF14	Kruppel_like_factor_14		Q8TD94	ENSG00000266265	1	1	KLF14	b	KLF14	KLF14	KLF14	2.3.1.2.14	KLF14	KLF14	7	KLF14	PTHR23235	SF59	KRUEPPEL-LIKE_FACTOR_14
KLF15	Kruppel_like_factor_15		Q9UIH9	ENSG00000163884	1	1	KLF15	a	KLF15	KLF15	KLF15	2.3.1.2.15	KLF15	KLF15	7	KLF15	PTHR23235	SF44	KRUEPPEL-LIKE_FACTOR_15
KLF16	Kruppel_like_factor_16		Q9BXK1	ENSG00000129911	1	1	KLF16	a	KLF16	KLF16	KLF16	2.3.1.2.16	KLF16	KLF16	7	KLF16	PTHR23235	SF71	KRUEPPEL-LIKE_FACTOR_16
KLF17	Kruppel_like_factor_17		Q5JT82	ENSG00000171872	1	1	KLF17	b	KLF17	KLF17	KLF17	2.3.1.2.17	KLF17	KLF17	7	KLF17	PTHR23235	SF74	KRUEPPEL-LIKE_FACTOR_17
KLF18	Kruppel_like_factor_18		A0A0U1RQI7	ENSG00000283039	1	1	KLF18							KLF18	1		PTHR23235	SF85	KRUPPEL-LIKE_FACTOR_18
KLF2	Kruppel_like_factor_2		Q9Y5W3	ENSG00000127528	1	1	KLF2	a	KLF2	KLF2	KLF2	2.3.1.2.2	KLF2	KLF2	7	KLF2	PTHR23235	SF109	KRUEPPEL-LIKE_FACTOR_2
KLF3	Kruppel_like_factor_3		P57682	ENSG00000109787	1	1	KLF3	b	KLF3	KLF3	KLF3	2.3.1.2.3	KLF3	KLF3	7	KLF3	PTHR23235	SF48	KRUEPPEL-LIKE_FACTOR_3
KLF4	Kruppel_like_factor_4		O43474	ENSG00000136826	1	1	KLF4	a	KLF4	KLF4	KLF4	2.3.1.2.4	KLF4	KLF4	7	KLF4	PTHR23235	SF41	KRUEPPEL-LIKE_FACTOR_4
KLF5	Kruppel_like_factor_5		Q13887	ENSG00000102554	1	1	KLF5	a	KLF5	KLF5	KLF5	2.3.1.2.5	KLF5	KLF5	7	KLF5	PTHR23235	SF82	KRUEPPEL-LIKE_FACTOR_5
KLF6	Kruppel_like_factor_6		Q99612	ENSG00000067082	1	1	KLF6	a	KLF6	KLF6	KLF6	2.3.1.2.6	KLF6	KLF6	7	KLF6	PTHR23235	SF50	KRUEPPEL-LIKE_FACTOR_6
KLF7	Kruppel_like_factor_7		O75840	ENSG00000118263	1	1	KLF7	b	KLF7	KLF7	KLF7	2.3.1.2.7	KLF7	KLF7	7		PTHR23235	SF77	KRUEPPEL-LIKE_FACTOR_7
KLF8	Kruppel_like_factor_8		O95600	ENSG00000102349	1	1	KLF8	a	KLF8	KLF8	KLF8	2.3.1.2.8	KLF8	KLF8	7		PTHR23235	SF46	KRUEPPEL-LIKE_FACTOR_8
KLF9	Kruppel_like_factor_9		Q13886	ENSG00000119138	1	1	KLF9	a	KLF9	KLF9	KLF9	2.3.1.2.9	KLF9	KLF9	7		PTHR23235	SF38	KRUEPPEL-LIKE_FACTOR_9
LBX1	ladybird_homeobox_1		P52954	ENSG00000138136	1	1	LBX1	a	LBX1	LBX1	LBX1	3.1.2.10.1	LBX1	LBX1	7		PTHR24336	SF9	TRANSCRIPTION_FACTOR_LBX1
LBX2	ladybird_homeobox_2		Q6XYB7	ENSG00000179528	1	1	LBX2	b		LBX2	LBX2	3.1.2.10.2	LBX2	LBX2	6	LBX2	PTHR24336	SF10	TRANSCRIPTION_FACTOR_LBX2
LEF1	lymphoid_enhancer_binding_factor_1		Q9UJU2	ENSG00000138795	1	1	LEF1	a	LEF1	LEF1	LEF1	4.1.3.0.4	LEF1	LEF1	7	LEF1	PTHR10373	SF11	LYMPHOID_ENHANCER-BINDING_FACTOR_1
LEUTX	leucine_twenty_homeobox		A8MZ59	ENSG00000213921	1	1	LEUTX	b		LEUTX	LEUTX	3.1.3.13.1	LEUTX	LEUTX	6		PTHR45793	SF18	LEUCINE-TWENTY_HOMEOBOX
LHX1	LIM_homeobox_1		P48742	ENSG00000273706	1	1	LHX1	b	LHX1	LHX1	LHX1	3.1.5.2.1	LHX1	LHX1	7	LHX1	PTHR24208	SF106	LIM/HOMEOBOX_PROTEIN_LHX1
LHX2	LIM_homeobox_2		P50458	ENSG00000106689	1	1	LHX2	a	LHX2	LHX2	LHX2	3.1.5.3.1	LHX2	LHX2	7		PTHR24208	SF80	LIM/HOMEOBOX_PROTEIN_LHX2
LHX3	LIM_homeobox_3		Q9UBR4	ENSG00000107187	1	1	LHX3	a	LHX3	LHX3	LHX3	3.1.5.4.1	LHX3	LHX3	7		PTHR24208	SF91	LIM/HOMEOBOX_PROTEIN_LHX3
LHX4	LIM_homeobox_4		Q969G2	ENSG00000121454	1	1	LHX4	a	LHX4	LHX4	LHX4	3.1.5.4.2	LHX4	LHX4	7	LHX4	PTHR24208	SF116	LIM/HOMEOBOX_PROTEIN_LHX4
LHX5	LIM_homeobox_5		Q9H2C1	ENSG00000089116	1	1	LHX5	b		LHX5	LHX5	3.1.5.2.2	LHX5	LHX5	6	LHX5	PTHR24208	SF115	LIM/HOMEOBOX_PROTEIN_LHX5
LHX6	LIM_homeobox_6		Q9UPM6	ENSG00000106852	1	1	LHX6	a	LHX6	LHX6	LHX6	3.1.5.5.1	LHX6	LHX6	7	LHX6	PTHR24208	SF121	LIM/HOMEOBOX_PROTEIN_LHX6
LHX8	LIM_homeobox_8		Q68G74	ENSG00000162624	1	1	LHX8	b		LHX8	LHX8	3.1.5.5.2	LHX8	LHX8	6	LHX8	PTHR24208	SF117	LIM/HOMEOBOX_PROTEIN_LHX8
LHX9	LIM_homeobox_9		Q9NQ69	ENSG00000143355	1	1	LHX9	a	LHX9	LHX9	LHX9	3.1.5.3.2	LHX9	LHX9	7	LHX9	PTHR24208	SF95	LIM/HOMEOBOX_PROTEIN_LHX9
LMX1A	LIM_homeobox_transcription_factor_1_alpha		Q8TE12	ENSG00000162761	1	1	LMX1A	a	LMX1A	LMX1A	LMX1A	3.1.5.6.1	LMX1A	LMX1A	7	LMX1A	PTHR24208	SF88	LIM_HOMEOBOX_TRANSCRIPTION_FACTOR_1-ALPHA
LMX1B	LIM_homeobox_transcription_factor_1_beta		O60663	ENSG00000136944	1	1	LMX1B	a	LMX1B	LMX1B	LMX1B	3.1.5.6.2	LMX1B	LMX1B	7	LMX1B	PTHR24208	SF96	LIM_HOMEOBOX_TRANSCRIPTION_FACTOR_1-BETA
LRRFIP1	LRR_binding_FLII_interacting_protein_1		Q32MZ4	ENSG00000124831	1	1	LRRFIP1		LRRFIP1		LRRFIP1	0.3.1.0.1		LRRFIP1	4		PTHR19212	SF5	LEUCINE-RICH_REPEAT_FLIGHTLESS-INTERACTING_PROTEIN_1
LYL1	LYL1_basic_helix-loop-helix_family_member		P12980	ENSG00000104903	1	1	LYL1	a		LYL1	LYL1	1.2.3.1.3	LYL1	LYL1	6		PTHR13864	SF6	PROTEIN_LYL-1
MAF	MAF_bZIP_transcription_factor		O75444	ENSG00000178573	1	1	MAF	a	MAF	MAF	MAF	1.1.3.1.1	MAF	MAF	7	MAF	PTHR10129	SF9	TRANSCRIPTION_FACTOR_MAF
MAFA	MAF_bZIP_transcription_factor_A		Q8NHW3	ENSG00000182759	1	1	MAFA	a	MAFA	MAFA	MAFA	1.1.3.1.2	MAFA	MAFA	7	MAFA	PTHR10129	SF30	TRANSCRIPTION_FACTOR_MAFA
MAFB	MAF_bZIP_transcription_factor_B		Q9Y5Q3	ENSG00000204103	1	1	MAFB	a	MAFB	MAFB	MAFB	1.1.3.1.3	MAFB	MAFB	7		PTHR10129	SF10	TRANSCRIPTION_FACTOR_MAFB
MAFF	MAF_bZIP_transcription_factor_F		Q9ULX9	ENSG00000185022	1	1	MAFF	a	MAFF	MAFF	MAFF	1.1.3.2.1	MAFF	MAFF	7	MAFF	PTHR10129	SF25	TRANSCRIPTION_FACTOR_MAFF
MAFG	MAF_bZIP_transcription_factor_G		O15525	ENSG00000197063	1	1	MAFG	a	MAFG	MAFG	MAFG	1.1.3.2	MAFG	MAFG	7	MAFG	PTHR10129	SF15	TRANSCRIPTION_FACTOR_MAFG
MAFK	MAF_bZIP_transcription_factor_K		O60675	ENSG00000198517	1	1	MAFK	a	MAFK	MAFK	MAFK	1.1.3.2.3	MAFK	MAFK	7		PTHR10129	SF26	TRANSCRIPTION_FACTOR_MAFK
MAX	MYC_associated_factor_X		P61244	ENSG00000125952	1	1	MAX	a	MAX	MAX	MAX	1.2.6.5.5	MAX	MAX	7	MAX	PTHR10328	SF3	PROTEIN_MAX
MAZ	MYC_associated_zinc_finger_protein		P56270	ENSG00000103495	1	1	MAZ	a	MAZ	MAZ	MAZ	2.3.4.8.1	MAZ	MAZ	7		PTHR24390	SF122	MYC-ASSOCIATED_ZINC_FINGER_PROTEIN
MECOM	MDS1_and_EVI1_complex_locus		Q03112	ENSG00000085276	1	1	MECOM	b	MECOM	MECOM	MECOM	2.3.4.14.1	MECOM	MECOM	7		PTHR24393	SF69	HISTONE-LYSINE_N-METHYLTRANSFERASE_MECOM
MEF2A	myocyte_enhancer_factor_2A		Q02078	ENSG00000068305	1	1	MEF2A	a	MEF2A	MEF2A	MEF2A	5.1.1.1.1	MEF2A	MEF2A	7		PTHR11945	SF637	MYOCYTE-SPECIFIC_ENHANCER_FACTOR_2A
MEF2B	myocyte_enhancer_factor_2B		Q02080	ENSG00000213999	1	1	MEF2B	a	MEF2B	MEF2B	MEF2B	5.1.1.1.2	MEF2B	MEF2B	7	MEF2B	PTHR11945	SF383	MYOCYTE-SPECIFIC_ENHANCER_FACTOR_2B
MEF2C	myocyte_enhancer_factor_2C		Q06413	ENSG00000081189	1	1	MEF2C	a	MEF2C	MEF2C	MEF2C	5.1.1.1.3	MEF2C	MEF2C	7	MEF2C	PTHR11945	SF25	MYOCYTE-SPECIFIC_ENHANCER_FACTOR_2C
MEF2D	myocyte_enhancer_factor_2D		Q14814	ENSG00000116604	1	1	MEF2D	a	MEF2D	MEF2D	MEF2D	5.1.1.1.4	MEF2D	MEF2D	7	MEF2D	PTHR11945	SF23	MYOCYTE-SPECIFIC_ENHANCER_FACTOR_2D
MEIS1	Meis_homeobox_1		O00470	ENSG00000143995	1	1	MEIS1	a	MEIS1	MEIS1	MEIS1	3.1.4.2.1	MEIS1	MEIS1	7		PTHR11850	SF126	HOMEOBOX_PROTEIN_MEIS1
MEIS2	Meis_homeobox_2		O14770	ENSG00000134138	1	1	MEIS2	a	MEIS2	MEIS2	MEIS2	3.1.4.2.2	MEIS2	MEIS2	7	MEIS2	PTHR11850	SF47	HOMEOBOX_PROTEIN_MEIS2
MEIS3	Meis_homeobox_3		Q99687	ENSG00000105419	1	1	MEIS3	a	MEIS3	MEIS3	MEIS3	3.1.4.2.3	MEIS3	MEIS3	7	MEIS3	PTHR11850	SF190	HOMEOBOX_PROTEIN_MEIS3-RELATED
MEIS3P1	Meis_homeobox_3_pseudogene_1	pseudogene	A6NDR6	ENSG00000179277	1	1				MEIS3P1	MEIS3P1				2		PTHR11850		
MEIS3P2	Meis_homeobox_3_pseudogene_2	pseudogene	A8K0S8	ENSG00000188013	1	1		a		MEIS3P2	MEIS3P2				3		PTHR11850		
MEOX1	mesenchyme_homeobox_1		P50221	ENSG00000005102	1	1	MEOX1	b	MEOX1	MEOX1	MEOX1	3.1.1.14.1	MEOX1	MEOX1	7	MEOX1	PTHR24328	SF8	HOMEOBOX_PROTEIN_MOX-1
MEOX2	mesenchyme_homeobox_2		P50222	ENSG00000106511	1	1	MEOX2	a	MEOX2	MEOX2	MEOX2	3.1.1.14.2	MEOX2	MEOX2	7	MEOX2	PTHR24328	SF1	HOMEOBOX_PROTEIN_MOX-2
MESP1	mesoderm_posterior_bHLH_transcription_factor_1		Q9BRJ9	ENSG00000166823	1	1	MESP1	c	MESP1	MESP1	MESP1	1.2.3.3.1	MESP1	MESP1	7		PTHR20937	SF6	MESODERM_POSTERIOR_PROTEIN_1
MESP2	mesoderm_posterior_bHLH_transcription_factor_2		Q0VG99	ENSG00000188095	1	1	MESP2	a	MESP2	MESP2	MESP2	1.2.3.3.2	MESP2	MESP2	7	MESP2	PTHR20937	SF17	MESODERM_POSTERIOR_PROTEIN_2
MGA	MAX_dimerization_protein_MGA		Q8IWI9	ENSG00000174197	1	1	MGA	b	MGA	MGA	MGA	1.2.6.7.4,6.5.5.0.2	MGA	MGA	7		PTHR11267	SF32	MAX_GENE-ASSOCIATED_PROTEIN
MITF	melanocyte_inducing_transcription_factor		O75030	ENSG00000187098	1	1	MITF	a	MITF	MITF	MITF	1.2.6.1.4	MITF	MITF	7		PTHR45776	SF4	MICROPHTHALMIA-ASSOCIATED_TRANSCRIPTION_FACTOR
MIXL1	Mix_paired-like_homeobox		Q9H2W2	ENSG00000185155	1	1	MIXL1	a	MIXL1	MIXL1	MIXL1	3.1.3.14.1	MIXL1	MIXL1	7	MIXL1	PTHR47656	SF1	HOMEOBOX_PROTEIN_MIXL1
MKX	mohawk_homeobox		Q8IYA7	ENSG00000150051	1	1	MKX	b	MKX	MKX	MKX	3.1.4.3.1	MKX	MKX	7		PTHR11211	SF3	HOMEOBOX_PROTEIN_MOHAWK
MLX	MAX_dimerization_protein_MLX		Q9UH92	ENSG00000108788	1	1	MLX	a	MLX	MLX	MLX	1.2.6.6.1	MLX	MLX	7	MLX	PTHR15741	SF25	MAX-LIKE_PROTEIN_X
MLXIP	MLX_interacting_protein		Q9HAP2	ENSG00000175727	1	1	MLXIP	a	MLXIP	MLXIP	MLXIP	1.2.6.6.2	MLXIP	MLXIP	7		PTHR15741	SF23	MLX-INTERACTING_PROTEIN
MLXIPL	MLX_interacting_protein_like		Q9NP71	ENSG00000009950	1	1	MLXIPL	a	MLXIPL	MLXIPL	MLXIPL	1.2.6.6.3	MLXIPL	MLXIPL	7		PTHR15741	SF14	CARBOHYDRATE-RESPONSIVE_ELEMENT-BINDING_PROTEIN
MNT	MAX_network_transcriptional_repressor		Q99583	ENSG00000070444	1	1	MNT	a	MNT	MNT	MNT	1.2.6.7.6	MNT	MNT	7		PTHR11969	SF33	MAX-BINDING_PROTEIN_MNT
MNX1	motor_neuron_and_pancreas_homeobox_1		P50219	ENSG00000130675	1	1	MNX1	b		MNX1	MNX1	3.1.1.13.1	MNX1	MNX1	6	MNX1	PTHR24335	SF3	MOTOR_NEURON_AND_PANCREAS_HOMEOBOX_PROTEIN_1
MSC	musculin		O60682	ENSG00000178860	1	1	MSC	a	MSC	MSC	MSC	1.2.3.3.4	MSC	MSC	7	MSC	PTHR23349	SF62	MUSCULIN
MSGN1	mesogenin_1		A6NI15	ENSG00000151379	1	1	MSGN1	c	MSGN1	MSGN1	MSGN1	1.2.3.3.6	MSGN1	MSGN1	7	MSGN1	PTHR20937	SF4	MESOGENIN-1
MSX1	msh_homeobox_1		P28360	ENSG00000163132	1	1	MSX1	a	MSX1	MSX1	MSX1	3.1.2.11.1	MSX1	MSX1	7	MSX1	PTHR24338	SF8	HOMEOBOX_PROTEIN_MSX-1
MSX2	msh_homeobox_2		P35548	ENSG00000120149	1	1	MSX2	a	MSX2	MSX2	MSX2	3.1.2.11.2	MSX2	MSX2	7	MSX2	PTHR24338	SF10	HOMEOBOX_PROTEIN_MSX-2
MTF1	metal_regulatory_transcription_factor_1		Q14872	ENSG00000188786	1	1	MTF1	a	MTF1	MTF1	MTF1	2.3.3.24.1	MTF1	MTF1	7	MTF1	PTHR19818	SF131	METAL_REGULATORY_TRANSCRIPTION_FACTOR_1
MXD1	MAX_dimerization_protein_1		Q05195	ENSG00000059728	1	1	MXD1	a	MXD1	MXD1	MXD1	1.2.6.7.1	MXD1	MXD1	7		PTHR11969	SF18	MAX_DIMERIZATION_PROTEIN_1
MXD3	MAX_dimerization_protein_3		Q9BW11	ENSG00000213347	1	1	MXD3	a	MXD3	MXD3	MXD3	1.2.6.7.2	MXD3	MXD3	7		PTHR11969	SF6	MAX_DIMERIZATION_PROTEIN_3
MXD4	MAX_dimerization_protein_4		Q14582	ENSG00000123933	1	1	MXD4	a	MXD4	MXD4	MXD4	1.2.6.7.3	MXD4	MXD4	7		PTHR11969	SF4	MAX_DIMERIZATION_PROTEIN_4
MXI1	MAX_interactor_1,_dimerization_protein		P50539	ENSG00000119950	1	1	MXI1	a	MXI1	MXI1	MXI1	1.2.6.7.5	MXI1	MXI1	7		PTHR11969	SF13	MAX-INTERACTING_PROTEIN_1
MYB	MYB_proto-oncogene,_transcription_factor		P10242	ENSG00000118513	1	1	MYB	a	MYB	MYB	MYB	3.5.1.1	MYB	MYB	7		PTHR45614	SF5	TRANSCRIPTIONAL_ACTIVATOR_MYB
MYBL1	MYB_proto-oncogene_like_1		P10243	ENSG00000185697	1	1	MYBL1	a	MYBL1	MYBL1	MYBL1	3.5.1.1	MYBL1	MYBL1	7		PTHR45614	SF9	MYB-RELATED_PROTEIN_A
MYBL2	MYB_proto-oncogene_like_2		P10244	ENSG00000101057	1	1	MYBL2	a	MYBL2	MYBL2	MYBL2	3.5.1.1.3	MYBL2	MYBL2	7	MYBL2	PTHR45614	SF30	MYB-RELATED_PROTEIN_B
MYC	MYC_proto-oncogene,_bHLH_transcription_factor		P01106	ENSG00000136997	1	1	MYC	a	MYC	MYC	MYC	1.2.6.5.1	MYC	MYC	7		PTHR45851	SF1	MYC_PROTO-ONCOGENE_PROTEIN
MYCL	MYCL_proto-oncogene,_bHLH_transcription_factor		P12524	ENSG00000116990	1	1	MYCL	b	MYCL		MYCL	1.2.6.5.3	MYCL	MYCL	6		PTHR45851	SF5	PROTEIN_L-MYC-RELATED
MYCLP1	MYCL_pseudogene_1	pseudogene	P12525	ENSG00000204053	1	1	MYCLP1	a		MYCLP1	MYCLP1				3		PTHR45851		
MYCN	MYCN_proto-oncogene,_bHLH_transcription_factor		P04198	ENSG00000134323	1	1	MYCN	a	MYCN	MYCN	MYCN	1.2.6.5.2	MYCN	MYCN	7	MYCN	PTHR45851	SF2	N-MYC_PROTO-ONCOGENE_PROTEIN
MYF5	myogenic_factor_5		P13349	ENSG00000111049	1	1	MYF5	a	MYF5	MYF5	MYF5	1.2.2.1.3	MYF5	MYF5	7		PTHR11534	SF3	MYOGENIC_FACTOR_5
MYF6	myogenic_factor_6		P23409	ENSG00000111046	1	1	MYF6	a	MYF6	MYF6	MYF6	1.2.2.1.4	MYF6	MYF6	7	MYF6	PTHR11534	SF4	MYOGENIC_FACTOR_6
MYNN	myoneurin		Q9NPC7	ENSG00000085274	1	1	MYNN	b		MYNN	MYNN	2.3.3.0.54	MYNN	MYNN	6		PTHR23226	SF170	MYONEURIN
MYOD1	myogenic_differentiation_1		P15172	ENSG00000129152	1	1	MYOD1	a	MYOD1	MYOD1	MYOD1	1.2.2.1.1	MYOD1	MYOD1	7	MYOD1	PTHR11534	SF2	MYOBLAST_DETERMINATION_PROTEIN_1
MYOG	myogenin		P15173	ENSG00000122180	1	1	MYOG	a	MYOG	MYOG	MYOG	1.2.2.1.2	MYOG	MYOG	7	MYOG	PTHR11534	SF5	MYOGENIN
MYPOP	Myb_related_transcription_factor,_partner_of_profilin		Q86VE0	ENSG00000176182	1	1	MYPOP	c	MYPOP	MYPOP			MYPOP		4		PTHR32345	SF3	MYB-RELATED_TRANSCRIPTION_FACTOR,_PARTNER_OF_PROFILIN
MYRF	myelin_regulatory_factor		Q9Y2G1	ENSG00000124920	1	1	MYRF	c	MYRF	MYRF	MYRF	6.6.1.0.1	MYRF	MYRF	7		PTHR13029	SF16	MYELIN_REGULATORY_FACTOR
